Validation_Set,Topics,Alpha,Beta,Coherence,Iteration
100% Corpus,4,0.31,0.61,0.417609376,248
100% Corpus,4,0.31,0.91,0.449583912,249
100% Corpus,4,0.31,symmetric,0.430070041,250
100% Corpus,4,0.61,0.01,0.457352989,251
100% Corpus,4,0.61,0.31,0.463579557,252
100% Corpus,4,0.61,0.61,0.43873654,253
100% Corpus,4,0.61,0.91,0.425300209,254
100% Corpus,4,0.61,symmetric,0.459824452,255
100% Corpus,4,0.91,0.01,0.465510048,256
100% Corpus,4,0.91,0.31,0.471628613,257
100% Corpus,4,0.91,0.61,0.467905541,258
100% Corpus,4,0.91,0.91,0.455136207,259
100% Corpus,4,0.91,symmetric,0.476699447,260
100% Corpus,4,symmetric,0.01,0.446543131,261
100% Corpus,4,symmetric,0.31,0.425872653,262
100% Corpus,4,symmetric,0.61,0.483098105,263
100% Corpus,4,symmetric,0.91,0.524947799,264
100% Corpus,4,symmetric,symmetric,0.422481736,265
100% Corpus,4,asymmetric,0.01,0.533948929,266
100% Corpus,4,asymmetric,0.31,0.519219934,267
100% Corpus,4,asymmetric,0.61,0.481407325,268
100% Corpus,4,asymmetric,0.91,0.560174795,269
100% Corpus,4,asymmetric,symmetric,0.497430333,270
100% Corpus,5,0.01,0.01,0.450591997,271
100% Corpus,5,0.01,0.31,0.458642528,272
100% Corpus,5,0.01,0.61,0.542729525,273
100% Corpus,5,0.01,0.91,0.55557624,274
100% Corpus,5,0.01,symmetric,0.432363001,275
100% Corpus,5,0.31,0.01,0.47858754,276
100% Corpus,5,0.31,0.31,0.472320052,277
100% Corpus,5,0.31,0.61,0.518207409,278
100% Corpus,5,0.31,0.91,0.542099415,279
100% Corpus,5,0.31,symmetric,0.470526183,280
100% Corpus,5,0.61,0.01,0.504486243,281
100% Corpus,5,0.61,0.31,0.503626278,282
100% Corpus,5,0.61,0.61,0.482954842,283
100% Corpus,5,0.61,0.91,0.525261699,284
100% Corpus,5,0.61,symmetric,0.502775167,285
100% Corpus,5,0.91,0.01,0.481893909,286
100% Corpus,5,0.91,0.31,0.461509083,287
100% Corpus,5,0.91,0.61,0.462391686,288
100% Corpus,5,0.91,0.91,0.423425873,289
100% Corpus,5,0.91,symmetric,0.473462958,290
100% Corpus,5,symmetric,0.01,0.466954578,291
100% Corpus,5,symmetric,0.31,0.450555524,292
100% Corpus,5,symmetric,0.61,0.528531236,293
100% Corpus,5,symmetric,0.91,0.554084916,294
100% Corpus,5,symmetric,symmetric,0.447355855,295
100% Corpus,5,asymmetric,0.01,0.495662092,296
100% Corpus,5,asymmetric,0.31,0.464299647,297
100% Corpus,5,asymmetric,0.61,0.551729907,298
100% Corpus,5,asymmetric,0.91,0.550484059,299
100% Corpus,5,asymmetric,symmetric,0.496847464,300
100% Corpus,6,0.01,0.01,0.461677364,301
100% Corpus,6,0.01,0.31,0.452549174,302
100% Corpus,6,0.01,0.61,0.528687161,303
100% Corpus,6,0.01,0.91,0.54981993,304
100% Corpus,6,0.01,symmetric,0.447333635,305
100% Corpus,6,0.31,0.01,0.455998358,306
100% Corpus,6,0.31,0.31,0.456415453,307
100% Corpus,6,0.31,0.61,0.454005848,308
100% Corpus,6,0.31,0.91,0.538039926,309
100% Corpus,6,0.31,symmetric,0.45682173,310
100% Corpus,6,0.61,0.01,0.511456702,311
100% Corpus,6,0.61,0.31,0.492924104,312
100% Corpus,6,0.61,0.61,0.477743063,313
100% Corpus,6,0.61,0.91,0.481412851,314
100% Corpus,6,0.61,symmetric,0.513244455,315
100% Corpus,6,0.91,0.01,0.493949865,316
100% Corpus,6,0.91,0.31,0.495625166,317
100% Corpus,6,0.91,0.61,0.49033308,318
100% Corpus,6,0.91,0.91,0.453353971,319
100% Corpus,6,0.91,symmetric,0.495997015,320
100% Corpus,6,symmetric,0.01,0.439768263,321
100% Corpus,6,symmetric,0.31,0.442956338,322
100% Corpus,6,symmetric,0.61,0.53114056,323
100% Corpus,6,symmetric,0.91,0.566585326,324
100% Corpus,6,symmetric,symmetric,0.433400622,325
100% Corpus,6,asymmetric,0.01,0.506696809,326
100% Corpus,6,asymmetric,0.31,0.527353213,327
100% Corpus,6,asymmetric,0.61,0.520805918,328
100% Corpus,6,asymmetric,0.91,0.540341884,329
100% Corpus,6,asymmetric,symmetric,0.461117671,330
100% Corpus,7,0.01,0.01,0.483919441,331
100% Corpus,7,0.01,0.31,0.435053781,332
100% Corpus,7,0.01,0.61,0.572529675,333
100% Corpus,7,0.01,0.91,0.480277267,334
100% Corpus,7,0.01,symmetric,0.456934781,335
100% Corpus,7,0.31,0.01,0.465146424,336
100% Corpus,7,0.31,0.31,0.481286647,337
100% Corpus,7,0.31,0.61,0.475449383,338
100% Corpus,7,0.31,0.91,0.564124565,339
100% Corpus,7,0.31,symmetric,0.501999117,340
100% Corpus,7,0.61,0.01,0.517703504,341
100% Corpus,7,0.61,0.31,0.52748115,342
100% Corpus,7,0.61,0.61,0.50705868,343
100% Corpus,7,0.61,0.91,0.538504534,344
100% Corpus,7,0.61,symmetric,0.527565679,345
100% Corpus,7,0.91,0.01,0.510240146,346
100% Corpus,7,0.91,0.31,0.527347118,347
100% Corpus,7,0.91,0.61,0.506954511,348
100% Corpus,7,0.91,0.91,0.502947111,349
100% Corpus,7,0.91,symmetric,0.533983591,350
100% Corpus,7,symmetric,0.01,0.487125698,351
100% Corpus,7,symmetric,0.31,0.466243844,352
100% Corpus,7,symmetric,0.61,0.56526897,353
100% Corpus,7,symmetric,0.91,0.545032768,354
100% Corpus,7,symmetric,symmetric,0.465320393,355
100% Corpus,7,asymmetric,0.01,0.485697601,356
100% Corpus,7,asymmetric,0.31,0.546100503,357
100% Corpus,7,asymmetric,0.61,0.56442916,358
100% Corpus,7,asymmetric,0.91,0.535073509,359
100% Corpus,7,asymmetric,symmetric,0.486341426,360
